Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"ponto_X_06_vermelho"
Duration Time,30.858
Ambient Temperature,"98.3"
Detector Temperature,"-15.0"
Valid Accumulated Counts,"930164"
Raw Accumulated Counts,"1085369"
Valid Count Last Packet,"28390"
Raw Count Last Packet,"33373"
Live Time,28.422001
HV DAC,170
HV ADC,40.000000
Filament DAC,201
Filament ADC,10.000000
Pulse Length,200
Pulse Period,254
Filter,1
eV per channel,20.085
Number of Channels,2048
Vacuum,782
Channel#,Intensity
0,"19003"
1,"13667"
2,"8268"
3,"4113"
4,"1655"
5,"568"
6,"154"
7,"36"
8,"14"
9,"9"
10,"8"
11,"6"
12,"3"
13,"4"
14,"2"
15,"2"
16,"2"
17,"4"
18,"5"
19,"2"
20,"2"
21,"1"
22,"4"
23,"0"
24,"1"
25,"0"
26,"1"
27,"0"
28,"0"
29,"11"
30,"23"
31,"78"
32,"104"
33,"130"
34,"127"
35,"124"
36,"143"
37,"117"
38,"133"
39,"122"
40,"134"
41,"124"
42,"117"
43,"128"
44,"125"
45,"117"
46,"124"
47,"132"
48,"127"
49,"125"
50,"120"
51,"108"
52,"138"
53,"133"
54,"121"
55,"143"
56,"134"
57,"139"
58,"137"
59,"111"
60,"122"
61,"123"
62,"126"
63,"133"
64,"122"
65,"129"
66,"117"
67,"130"
68,"125"
69,"137"
70,"143"
71,"132"
72,"127"
73,"146"
74,"126"
75,"111"
76,"95"
77,"106"
78,"111"
79,"109"
80,"111"
81,"94"
82,"110"
83,"101"
84,"107"
85,"114"
86,"112"
87,"124"
88,"98"
89,"123"
90,"111"
91,"105"
92,"130"
93,"116"
94,"133"
95,"134"
96,"104"
97,"117"
98,"141"
99,"145"
100,"118"
101,"135"
102,"127"
103,"118"
104,"113"
105,"144"
106,"139"
107,"141"
108,"156"
109,"190"
110,"238"
111,"274"
112,"353"
113,"467"
114,"544"
115,"513"
116,"538"
117,"477"
118,"363"
119,"330"
120,"243"
121,"213"
122,"206"
123,"209"
124,"230"
125,"224"
126,"291"
127,"282"
128,"367"
129,"504"
130,"713"
131,"888"
132,"1211"
133,"1422"
134,"1468"
135,"1466"
136,"1467"
137,"1225"
138,"1149"
139,"1084"
140,"1026"
141,"1197"
142,"1174"
143,"1259"
144,"1386"
145,"1517"
146,"1562"
147,"1660"
148,"1520"
149,"1339"
150,"1160"
151,"1089"
152,"1042"
153,"1181"
154,"1336"
155,"1539"
156,"1579"
157,"1548"
158,"1329"
159,"1082"
160,"888"
161,"795"
162,"805"
163,"862"
164,"954"
165,"1009"
166,"973"
167,"923"
168,"783"
169,"713"
170,"539"
171,"492"
172,"472"
173,"407"
174,"419"
175,"430"
176,"427"
177,"542"
178,"597"
179,"752"
180,"1018"
181,"1287"
182,"1479"
183,"1601"
184,"1683"
185,"1491"
186,"1194"
187,"916"
188,"689"
189,"524"
190,"379"
191,"349"
192,"300"
193,"332"
194,"363"
195,"396"
196,"431"
197,"514"
198,"562"
199,"564"
200,"559"
201,"459"
202,"422"
203,"345"
204,"341"
205,"285"
206,"290"
207,"237"
208,"232"
209,"272"
210,"253"
211,"289"
212,"291"
213,"374"
214,"400"
215,"530"
216,"825"
217,"1195"
218,"1772"
219,"2371"
220,"2858"
221,"3324"
222,"3623"
223,"3385"
224,"3033"
225,"2523"
226,"1850"
227,"1338"
228,"855"
229,"625"
230,"440"
231,"385"
232,"390"
233,"481"
234,"618"
235,"823"
236,"1182"
237,"1600"
238,"1989"
239,"2398"
240,"2589"
241,"2548"
242,"2437"
243,"2171"
244,"1841"
245,"1491"
246,"1182"
247,"925"
248,"779"
249,"687"
250,"527"
251,"594"
252,"598"
253,"735"
254,"822"
255,"915"
256,"983"
257,"1032"
258,"964"
259,"809"
260,"706"
261,"580"
262,"418"
263,"352"
264,"337"
265,"334"
266,"315"
267,"341"
268,"307"
269,"364"
270,"393"
271,"425"
272,"513"
273,"586"
274,"597"
275,"609"
276,"633"
277,"625"
278,"533"
279,"458"
280,"410"
281,"381"
282,"369"
283,"346"
284,"374"
285,"399"
286,"424"
287,"464"
288,"474"
289,"508"
290,"449"
291,"427"
292,"425"
293,"374"
294,"383"
295,"374"
296,"373"
297,"347"
298,"355"
299,"323"
300,"349"
301,"315"
302,"333"
303,"321"
304,"328"
305,"336"
306,"389"
307,"314"
308,"391"
309,"415"
310,"405"
311,"471"
312,"543"
313,"557"
314,"617"
315,"720"
316,"757"
317,"827"
318,"810"
319,"751"
320,"759"
321,"657"
322,"594"
323,"520"
324,"439"
325,"406"
326,"344"
327,"360"
328,"346"
329,"346"
330,"339"
331,"353"
332,"409"
333,"387"
334,"352"
335,"382"
336,"419"
337,"438"
338,"433"
339,"472"
340,"491"
341,"496"
342,"492"
343,"538"
344,"515"
345,"504"
346,"543"
347,"483"
348,"465"
349,"463"
350,"468"
351,"469"
352,"473"
353,"443"
354,"447"
355,"482"
356,"486"
357,"495"
358,"516"
359,"595"
360,"589"
361,"622"
362,"688"
363,"715"
364,"689"
365,"777"
366,"835"
367,"872"
368,"969"
369,"964"
370,"1024"
371,"1130"
372,"1133"
373,"1011"
374,"886"
375,"754"
376,"674"
377,"562"
378,"504"
379,"406"
380,"397"
381,"373"
382,"377"
383,"339"
384,"353"
385,"365"
386,"374"
387,"370"
388,"340"
389,"375"
390,"372"
391,"398"
392,"408"
393,"381"
394,"401"
395,"426"
396,"444"
397,"423"
398,"443"
399,"481"
400,"474"
401,"452"
402,"466"
403,"468"
404,"473"
405,"468"
406,"528"
407,"572"
408,"534"
409,"606"
410,"600"
411,"598"
412,"589"
413,"664"
414,"707"
415,"777"
416,"765"
417,"981"
418,"1293"
419,"1886"
420,"3081"
421,"5042"
422,"8040"
423,"12192"
424,"17901"
425,"25013"
426,"32489"
427,"38888"
428,"44455"
429,"47155"
430,"46555"
431,"42839"
432,"37364"
433,"29665"
434,"22140"
435,"15597"
436,"10401"
437,"6526"
438,"3888"
439,"2237"
440,"1285"
441,"827"
442,"566"
443,"427"
444,"371"
445,"342"
446,"349"
447,"334"
448,"326"
